source_doc,order_index,text_preview,label_suggestion,font_size,is_bold,is_italic,alignment,indent_left,indent_first_line,space_before,space_after,line_spacing,is_all_caps,starts_with_number,word_count,position_ratio_in_doc,style_name_hash,has_image,is_table_element
chapter_01_ml_pipelines.docx,0,Chapter 5,Chapter Heading,14.0,1,0,1,0.0,0.0,0.0,2.0,1.0,0,0,2,0.0,0,0,0
chapter_01_ml_pipelines.docx,1,Designing Robust Machine Learning Pipelines,Chapter Heading,20.0,1,0,1,0.0,0.0,0.0,24.0,1.0,0,0,5,0.0435,0,0,0
chapter_01_ml_pipelines.docx,2,Why Pipelines Break,Subheading,13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,3,0.087,0,0,0
chapter_01_ml_pipelines.docx,3,Most production ML failures are not model failures -- they are pipeline failures,Body Paragraph,11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,22,0.1304,0,0,0
chapter_01_ml_pipelines.docx,4,A feature computed one way during training and a slightly different way during i,Body Paragraph,11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,23,0.1739,0,0,0
chapter_01_ml_pipelines.docx,5,A Shared Contract,Subheading,13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,3,0.2174,0,0,0
chapter_01_ml_pipelines.docx,6,Teams that split ML and engineering work benefit from writing down the exact fea,Body Paragraph,11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,20,0.2609,0,0,0
chapter_01_ml_pipelines.docx,7,Stage | Owner | Days | Setup | Both | 2,Table,11.0,1,0,0,0.0,0.0,0.0,0.0,1.0,0,0,15,0.3043,9,0,1
chapter_01_ml_pipelines.docx,8,Table 5.2: Project timeline by stage.,Caption,10.0,0,1,1,0.0,0.0,0.0,12.0,1.0,0,0,6,0.3478,0,0,0
chapter_01_ml_pipelines.docx,9,Fallback Layers,Subheading,13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,2,0.3913,0,0,0
chapter_01_ml_pipelines.docx,10,Rule-based overrides act as a safety net for cases the statistical model has not,Body Paragraph,11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,18,0.4348,0,0,0
chapter_01_ml_pipelines.docx,11,[IMAGE],Figure,11.0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.4783,0,1,0
chapter_01_ml_pipelines.docx,12,Figure 5.3: Diagram supporting the discussion.,Caption,10.0,0,1,1,0.0,0.0,0.0,12.0,1.0,0,0,6,0.5217,0,0,0
chapter_01_ml_pipelines.docx,13,Checklist,Subheading,13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,1,0.5652,0,0,0
chapter_01_ml_pipelines.docx,14,"Before shipping, confirm the following.",Body Paragraph,11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,5,0.6087,0,0,0
chapter_01_ml_pipelines.docx,15,Key takeaways from this section:,Body Paragraph,11.5,0,0,3,0.0,1.0,0.0,6.0,1.0,0,0,5,0.6522,0,0,0
chapter_01_ml_pipelines.docx,16,1. Keep schema in sync,List,11.5,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,5,0.6957,0,0,0
chapter_01_ml_pipelines.docx,17,2. Version-pin dependencies,List,11.5,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,3,0.7391,0,0,0
chapter_01_ml_pipelines.docx,18,3. Validate before formatting,List,11.5,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,4,0.7826,0,0,0
chapter_01_ml_pipelines.docx,19,4. Log every override,List,11.5,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,4,0.8261,0,0,0
chapter_01_ml_pipelines.docx,20,Further Reading,Subheading,13.0,1,0,0,0.0,0.0,16.0,6.0,1.0,0,0,2,0.8696,0,0,0
chapter_01_ml_pipelines.docx,21,"[1] Fowler, M. (2018). Refactoring: Improving the design of existing code.",Reference,10.5,0,0,3,0.6,0.0,0.0,3.0,1.0,0,1,11,0.913,0,0,0
chapter_01_ml_pipelines.docx,22,"[2] Gamma, E. et al. (1994). Design patterns: Elements of reusable object-orient",Reference,10.5,0,0,3,0.6,0.0,0.0,3.0,1.0,0,1,13,0.9565,0,0,0
chapter_02_document_structure.docx,0,Chapter 6,Chapter Heading,14.0,1,0,1,0.0,0.0,0.0,2.0,1.0,0,0,2,0.0,0,0,0
chapter_02_document_structure.docx,1,Understanding Document Structure Programmatically,Chapter Heading,20.0,1,0,1,0.0,0.0,0.0,24.0,1.0,0,0,4,0.0455,0,0,0
chapter_02_document_structure.docx,2,Paragraphs vs. Runs,Subheading,13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,3,0.0909,0,0,0
chapter_02_document_structure.docx,3,"A Word document is a tree: paragraphs contain runs, and each run can carry its o",Body Paragraph,11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,25,0.1364,0,0,0
chapter_02_document_structure.docx,4,Tables and Floating Elements,Subheading,13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,4,0.1818,0,0,0
chapter_02_document_structure.docx,5,"Tables live alongside paragraphs at the same level in the document body, which m",Body Paragraph,11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,26,0.2273,0,0,0
chapter_02_document_structure.docx,6,Stage | Owner | Days | Setup | Both | 2,Table,11.0,1,0,0,0.0,0.0,0.0,0.0,1.0,0,0,15,0.2727,9,0,1
chapter_02_document_structure.docx,7,Table 6.2: Project timeline by stage.,Caption,10.0,0,1,1,0.0,0.0,0.0,12.0,1.0,0,0,6,0.3182,0,0,0
chapter_02_document_structure.docx,8,Images and Captions,Subheading,13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,3,0.3636,0,0,0
chapter_02_document_structure.docx,9,An inline image is itself a paragraph with no text; the descriptive sentence bel,Body Paragraph,11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,27,0.4091,0,0,0
chapter_02_document_structure.docx,10,[IMAGE],Figure,11.0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.4545,0,1,0
chapter_02_document_structure.docx,11,Figure 6.3: Diagram supporting the discussion.,Caption,10.0,0,1,1,0.0,0.0,0.0,12.0,1.0,0,0,6,0.5,0,0,0
chapter_02_document_structure.docx,12,Practical Tips,Subheading,13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,2,0.5455,0,0,0
chapter_02_document_structure.docx,13,A short list of gotchas worth remembering.,Body Paragraph,11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,7,0.5909,0,0,0
chapter_02_document_structure.docx,14,Key takeaways from this section:,Body Paragraph,11.5,0,0,3,0.0,1.0,0.0,6.0,1.0,0,0,5,0.6364,0,0,0
