font_size,is_bold,is_italic,alignment,indent_left,indent_first_line,space_before,space_after,line_spacing,is_all_caps,starts_with_number,word_count,position_ratio_in_doc,style_name_hash,has_image,is_table_element,label
14.0,1,0,1,0.0,0.0,0.0,2.0,1.0,0,0,2,0.0,0,0,0,2
20.0,1,0,1,0.0,0.0,0.0,24.0,1.0,0,0,5,0.0435,0,0,0,2
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,3,0.087,0,0,0,3
11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,22,0.1304,0,0,0,4
11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,23,0.1739,0,0,0,4
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,3,0.2174,0,0,0,3
11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,20,0.2609,0,0,0,4
11.0,1,0,0,0.0,0.0,0.0,0.0,1.0,0,0,15,0.3043,9,0,1,5
10.0,0,1,1,0.0,0.0,0.0,12.0,1.0,0,0,6,0.3478,0,0,0,7
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,2,0.3913,0,0,0,3
11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,18,0.4348,0,0,0,4
11.0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.4783,0,1,0,6
10.0,0,1,1,0.0,0.0,0.0,12.0,1.0,0,0,6,0.5217,0,0,0,7
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,1,0.5652,0,0,0,3
11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,5,0.6087,0,0,0,4
11.5,0,0,3,0.0,1.0,0.0,6.0,1.0,0,0,5,0.6522,0,0,0,4
11.5,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,5,0.6957,0,0,0,9
11.5,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,3,0.7391,0,0,0,9
11.5,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,4,0.7826,0,0,0,9
11.5,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,4,0.8261,0,0,0,9
13.0,1,0,0,0.0,0.0,16.0,6.0,1.0,0,0,2,0.8696,0,0,0,3
10.5,0,0,3,0.6,0.0,0.0,3.0,1.0,0,1,11,0.913,0,0,0,8
10.5,0,0,3,0.6,0.0,0.0,3.0,1.0,0,1,13,0.9565,0,0,0,8
14.0,1,0,1,0.0,0.0,0.0,2.0,1.0,0,0,2,0.0,0,0,0,2
20.0,1,0,1,0.0,0.0,0.0,24.0,1.0,0,0,4,0.0455,0,0,0,2
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,3,0.0909,0,0,0,3
11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,25,0.1364,0,0,0,4
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,4,0.1818,0,0,0,3
11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,26,0.2273,0,0,0,4
11.0,1,0,0,0.0,0.0,0.0,0.0,1.0,0,0,15,0.2727,9,0,1,5
10.0,0,1,1,0.0,0.0,0.0,12.0,1.0,0,0,6,0.3182,0,0,0,7
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,3,0.3636,0,0,0,3
11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,27,0.4091,0,0,0,4
11.0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.4545,0,1,0,6
10.0,0,1,1,0.0,0.0,0.0,12.0,1.0,0,0,6,0.5,0,0,0,7
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,2,0.5455,0,0,0,3
11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,7,0.5909,0,0,0,4
11.5,0,0,3,0.0,1.0,0.0,6.0,1.0,0,0,5,0.6364,0,0,0,4
11.5,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,5,0.6818,0,0,0,9
11.5,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,3,0.7273,0,0,0,9
11.5,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,4,0.7727,0,0,0,9
11.5,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,4,0.8182,0,0,0,9
13.0,1,0,0,0.0,0.0,16.0,6.0,1.0,0,0,2,0.8636,0,0,0,3
10.5,0,0,3,0.6,0.0,0.0,3.0,1.0,0,1,11,0.9091,0,0,0,8
10.5,0,0,3,0.6,0.0,0.0,3.0,1.0,0,1,13,0.9545,0,0,0,8
14.0,1,0,1,0.0,0.0,0.0,2.0,1.0,0,0,2,0.0,0,0,0,2
20.0,1,0,1,0.0,0.0,0.0,24.0,1.0,0,0,5,0.0455,0,0,0,2
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,2,0.0909,0,0,0,3
11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,24,0.1364,0,0,0,4
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,3,0.1818,0,0,0,3
11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,12,0.2273,0,0,0,4
11.0,1,0,0,0.0,0.0,0.0,0.0,1.0,0,0,15,0.2727,9,0,1,5
10.0,0,1,1,0.0,0.0,0.0,12.0,1.0,0,0,6,0.3182,0,0,0,7
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,2,0.3636,0,0,0,3
11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,16,0.4091,0,0,0,4
11.0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.4545,0,1,0,6
10.0,0,1,1,0.0,0.0,0.0,12.0,1.0,0,0,6,0.5,0,0,0,7
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,0,2,0.5455,0,0,0,3
11.5,0,0,3,0.0,1.0,0.0,6.0,1.3,0,0,7,0.5909,0,0,0,4
11.5,0,0,3,0.0,1.0,0.0,6.0,1.0,0,0,5,0.6364,0,0,0,4
11.5,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,5,0.6818,0,0,0,9
11.5,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,3,0.7273,0,0,0,9
11.5,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,4,0.7727,0,0,0,9
11.5,0,0,0,1.0,0.0,0.0,2.0,1.0,0,1,4,0.8182,0,0,0,9
13.0,1,0,0,0.0,0.0,16.0,6.0,1.0,0,0,2,0.8636,0,0,0,3
10.5,0,0,3,0.6,0.0,0.0,3.0,1.0,0,1,11,0.9091,0,0,0,8
10.5,0,0,3,0.6,0.0,0.0,3.0,1.0,0,1,13,0.9545,0,0,0,8
16.0,1,0,1,0.0,0.0,0.0,8.0,1.0,0,0,10,0.0,0,0,0,0
11.0,0,1,1,0.0,0.0,0.0,18.0,1.0,0,0,8,0.0435,0,0,0,1
12.0,1,0,0,0.0,0.0,0.0,4.0,1.0,0,0,1,0.087,0,0,0,3
10.0,0,0,3,0.0,0.0,0.0,12.0,1.0,0,0,29,0.1304,0,0,0,4
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,1,2,0.1739,0,0,0,2
10.5,0,0,3,0.0,0.499,0.0,6.0,1.15,0,0,15,0.2174,0,0,0,4
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,1,2,0.2609,0,0,0,2
10.5,0,0,3,0.0,0.499,0.0,6.0,1.15,0,0,18,0.3043,0,0,0,4
11.0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.3478,0,1,0,6
9.0,0,1,1,0.0,0.0,0.0,10.0,1.0,0,0,7,0.3913,0,0,0,7
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,1,2,0.4348,0,0,0,2
10.5,0,0,3,0.0,0.499,0.0,6.0,1.15,0,0,13,0.4783,0,0,0,4
11.0,1,0,0,0.0,0.0,0.0,0.0,1.0,0,0,9,0.5217,9,0,1,5
9.0,0,1,1,0.0,0.0,0.0,10.0,1.0,0,0,7,0.5652,0,0,0,7
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,1,2,0.6087,0,0,0,2
10.5,0,0,3,0.0,0.499,0.0,6.0,1.15,0,0,19,0.6522,0,0,0,4
10.5,0,0,0,0.801,0.0,0.0,2.0,1.0,0,1,4,0.6957,0,0,0,9
10.5,0,0,0,0.801,0.0,0.0,2.0,1.0,0,1,5,0.7391,0,0,0,9
10.5,0,0,0,0.801,0.0,0.0,2.0,1.0,0,1,5,0.7826,0,0,0,9
13.0,1,0,0,0.0,0.0,16.0,6.0,1.0,0,0,1,0.8261,0,0,0,2
9.5,0,0,3,0.499,0.0,0.0,3.0,1.0,0,1,12,0.8696,0,0,0,8
9.5,0,0,3,0.499,0.0,0.0,3.0,1.0,0,1,15,0.913,0,0,0,8
9.5,0,0,3,0.499,0.0,0.0,3.0,1.0,0,1,13,0.9565,0,0,0,8
16.0,1,0,1,0.0,0.0,0.0,8.0,1.0,0,0,8,0.0,0,0,0,0
11.0,0,1,1,0.0,0.0,0.0,18.0,1.0,0,0,4,0.0476,0,0,0,1
12.0,1,0,0,0.0,0.0,0.0,4.0,1.0,0,0,1,0.0952,0,0,0,3
10.0,0,0,3,0.0,0.0,0.0,12.0,1.0,0,0,37,0.1429,0,0,0,4
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,1,3,0.1905,0,0,0,2
10.5,0,0,3,0.0,0.499,0.0,6.0,1.15,0,0,21,0.2381,0,0,0,4
11.0,1,0,0,0.0,0.0,0.0,0.0,1.0,0,0,9,0.2857,9,0,1,5
9.0,0,1,1,0.0,0.0,0.0,10.0,1.0,0,0,7,0.3333,0,0,0,7
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,1,3,0.381,0,0,0,2
10.5,0,0,3,0.0,0.499,0.0,6.0,1.15,0,0,24,0.4286,0,0,0,4
10.5,0,0,0,0.801,0.0,0.0,2.0,1.0,0,1,4,0.4762,0,0,0,9
10.5,0,0,0,0.801,0.0,0.0,2.0,1.0,0,1,5,0.5238,0,0,0,9
10.5,0,0,0,0.801,0.0,0.0,2.0,1.0,0,1,5,0.5714,0,0,0,9
13.0,1,0,0,0.0,0.0,14.0,6.0,1.0,0,1,3,0.619,0,0,0,2
10.5,0,0,3,0.0,0.499,0.0,6.0,1.15,0,0,13,0.6667,0,0,0,4
11.0,0,0,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.7143,0,1,0,6
9.0,0,1,1,0.0,0.0,0.0,10.0,1.0,0,0,7,0.7619,0,0,0,7
13.0,1,0,0,0.0,0.0,16.0,6.0,1.0,0,0,1,0.8095,0,0,0,2
9.5,0,0,3,0.499,0.0,0.0,3.0,1.0,0,1,12,0.8571,0,0,0,8
9.5,0,0,3,0.499,0.0,0.0,3.0,1.0,0,1,15,0.9048,0,0,0,8
9.5,0,0,3,0.499,0.0,0.0,3.0,1.0,0,1,13,0.9524,0,0,0,8
16.0,1,0,1,0.0,0.0,0.0,8.0,1.0,0,0,10,0.0,0,0,0,0
